year,district,unemployed_55_and_older,unemployed_25_to_under_35_years,unemployed_35_to_under_45_years,unemployed_45_to_under_55_years,unemployed_without_vocational_degree,unemployed_with_vocational_degree,unemployed_with_academic_degree,unemployed_without_school_degree,unemployed_with_secondary_school_certificate,unemployed_with_intermediate_maturity,unemployed_with_high_school_diploma
2006,Landwasser,0,0,0,0,0,0,0,0,0,0,0
2006,Lehen,0,0,0,0,0,0,0,0,0,0,0
2006,Waltershofen,0,0,0,0,0,0,0,0,0,0,0
2006,Mundenhof,0,0,0,0,0,0,0,0,0,0,0
2006,Haslach-Egerten,0,0,0,0,0,0,0,0,0,0,0
2006,Haslach-Gartenstadt,0,0,0,0,0,0,0,0,0,0,0
2006,Haslach-Schildacker,0,0,0,0,0,0,0,0,0,0,0
2006,Haslach-Haid,0,0,0,0,0,0,0,0,0,0,0
2006,St. Georgen-Nord,0,0,0,0,0,0,0,0,0,0,0
2006,St. Georgen-Süd,0,0,0,0,0,0,0,0,0,0,0
2006,Opfingen,0,0,0,0,0,0,0,0,0,0,0
2006,Tiengen,0,0,0,0,0,0,0,0,0,0,0
2006,Munzingen,0,0,0,0,0,0,0,0,0,0,0
2006,Weingarten,0,0,0,0,0,0,0,0,0,0,0
2006,Rieselfeld,0,0,0,0,0,0,0,0,0,0,0
2007,Altstadt-Mitte,0,0,0,0,0,0,0,0,0,0,0
2007,Altstadt-Ring,0,0,0,0,0,0,0,0,0,0,0
2007,Neuburg,0,0,0,0,0,0,0,0,0,0,0
2007,Herdern-Süd,0,0,0,0,0,0,0,0,0,0,0
2007,Herdern-Nord,0,0,0,0,0,0,0,0,0,0,0
2007,Zähringen,0,0,0,0,0,0,0,0,0,0,0
2007,Brühl-Güterbahnhof,0,0,0,0,0,0,0,0,0,0,0
2007,Brühl-Industriegebiet,0,0,0,0,0,0,0,0,0,0,0
2007,Hochdorf,0,0,0,0,0,0,0,0,0,0,0
2007,Waldsee,0,0,0,0,0,0,0,0,0,0,0
2007,Littenweiler,0,0,0,0,0,0,0,0,0,0,0
2007,Ebnet,0,0,0,0,0,0,0,0,0,0,0
2007,Kappel,0,0,0,0,0,0,0,0,0,0,0
2007,Oberau,0,0,0,0,0,0,0,0,0,0,0
2007,Oberwiehre,0,0,0,0,0,0,0,0,0,0,0
2007,Mittelwiehre,0,0,0,0,0,0,0,0,0,0,0
2007,Unterwiehre-Nord,0,0,0,0,0,0,0,0,0,0,0
2007,Unterwiehre-Süd,0,0,0,0,0,0,0,0,0,0,0
2007,Günterstal,0,0,0,0,0,0,0,0,0,0,0
2007,Stühlinger-Beurbarung,0,0,0,0,0,0,0,0,0,0,0
2007,Stühlinger-Eschholz,0,0,0,0,0,0,0,0,0,0,0
2007,Alt-Stühlinger,0,0,0,0,0,0,0,0,0,0,0
2007,Mooswald-West,0,0,0,0,0,0,0,0,0,0,0
2007,Mooswald-Ost,0,0,0,0,0,0,0,0,0,0,0
2007,Betzenhausen-Bischofslinde,0,0,0,0,0,0,0,0,0,0,0
2007,Alt-Betzenhausen,0,0,0,0,0,0,0,0,0,0,0
2007,Landwasser,0,0,0,0,0,0,0,0,0,0,0
2007,Lehen,0,0,0,0,0,0,0,0,0,0,0
2007,Waltershofen,0,0,0,0,0,0,0,0,0,0,0
2007,Mundenhof,0,0,0,0,0,0,0,0,0,0,0
2007,Haslach-Egerten,0,0,0,0,0,0,0,0,0,0,0
2007,Haslach-Gartenstadt,0,0,0,0,0,0,0,0,0,0,0
2007,Haslach-Schildacker,0,0,0,0,0,0,0,0,0,0,0
2007,Haslach-Haid,0,0,0,0,0,0,0,0,0,0,0
2007,St. Georgen-Nord,0,0,0,0,0,0,0,0,0,0,0
2007,St. Georgen-Süd,0,0,0,0,0,0,0,0,0,0,0
2007,Opfingen,0,0,0,0,0,0,0,0,0,0,0
2007,Tiengen,0,0,0,0,0,0,0,0,0,0,0
2007,Munzingen,0,0,0,0,0,0,0,0,0,0,0
2007,Weingarten,0,0,0,0,0,0,0,0,0,0,0
2007,Rieselfeld,0,0,0,0,0,0,0,0,0,0,0
2008,Altstadt-Mitte,0,0,0,0,0,0,0,0,0,0,0
2008,Altstadt-Ring,0,0,0,0,0,0,0,0,0,0,0
2008,Neuburg,0,0,0,0,0,0,0,0,0,0,0
2008,Herdern-Süd,0,0,0,0,0,0,0,0,0,0,0
2008,Herdern-Nord,0,0,0,0,0,0,0,0,0,0,0
2008,Zähringen,0,0,0,0,0,0,0,0,0,0,0
2008,Brühl-Güterbahnhof,0,0,0,0,0,0,0,0,0,0,0
2008,Brühl-Industriegebiet,0,0,0,0,0,0,0,0,0,0,0
2008,Hochdorf,0,0,0,0,0,0,0,0,0,0,0
2008,Waldsee,0,0,0,0,0,0,0,0,0,0,0
2008,Littenweiler,0,0,0,0,0,0,0,0,0,0,0
2008,Ebnet,0,0,0,0,0,0,0,0,0,0,0
2008,Kappel,0,0,0,0,0,0,0,0,0,0,0
2008,Oberau,0,0,0,0,0,0,0,0,0,0,0
2008,Oberwiehre,0,0,0,0,0,0,0,0,0,0,0
2008,Mittelwiehre,0,0,0,0,0,0,0,0,0,0,0
2008,Unterwiehre-Nord,0,0,0,0,0,0,0,0,0,0,0
2008,Unterwiehre-Süd,0,0,0,0,0,0,0,0,0,0,0
2008,Günterstal,0,0,0,0,0,0,0,0,0,0,0
2008,Stühlinger-Beurbarung,0,0,0,0,0,0,0,0,0,0,0
2008,Stühlinger-Eschholz,0,0,0,0,0,0,0,0,0,0,0
2008,Alt-Stühlinger,0,0,0,0,0,0,0,0,0,0,0
2008,Mooswald-West,0,0,0,0,0,0,0,0,0,0,0
2008,Mooswald-Ost,0,0,0,0,0,0,0,0,0,0,0
2008,Betzenhausen-Bischofslinde,0,0,0,0,0,0,0,0,0,0,0
2008,Alt-Betzenhausen,0,0,0,0,0,0,0,0,0,0,0
2008,Landwasser,0,0,0,0,0,0,0,0,0,0,0
2008,Lehen,0,0,0,0,0,0,0,0,0,0,0
2008,Waltershofen,0,0,0,0,0,0,0,0,0,0,0
2008,Mundenhof,0,0,0,0,0,0,0,0,0,0,0
2008,Haslach-Egerten,0,0,0,0,0,0,0,0,0,0,0
2008,Haslach-Gartenstadt,0,0,0,0,0,0,0,0,0,0,0
2008,Haslach-Schildacker,0,0,0,0,0,0,0,0,0,0,0
2008,Haslach-Haid,0,0,0,0,0,0,0,0,0,0,0
2008,St. Georgen-Nord,0,0,0,0,0,0,0,0,0,0,0
2008,St. Georgen-Süd,0,0,0,0,0,0,0,0,0,0,0
2008,Opfingen,0,0,0,0,0,0,0,0,0,0,0
2008,Tiengen,0,0,0,0,0,0,0,0,0,0,0
2008,Munzingen,0,0,0,0,0,0,0,0,0,0,0
2008,Weingarten,0,0,0,0,0,0,0,0,0,0,0
2008,Rieselfeld,0,0,0,0,0,0,0,0,0,0,0
2009,Altstadt-Mitte,0,0,0,0,0,0,0,0,0,0,0
2009,Altstadt-Ring,0,0,0,0,0,0,0,0,0,0,0
2009,Neuburg,0,0,0,0,0,0,0,0,0,0,0
2009,Herdern-Süd,0,0,0,0,0,0,0,0,0,0,0
2009,Herdern-Nord,0,0,0,0,0,0,0,0,0,0,0
2009,Zähringen,0,0,0,0,0,0,0,0,0,0,0
2009,Brühl-Güterbahnhof,0,0,0,0,0,0,0,0,0,0,0
2009,Brühl-Industriegebiet,0,0,0,0,0,0,0,0,0,0,0
2009,Hochdorf,0,0,0,0,0,0,0,0,0,0,0
2009,Waldsee,0,0,0,0,0,0,0,0,0,0,0
2009,Littenweiler,0,0,0,0,0,0,0,0,0,0,0
2009,Ebnet,0,0,0,0,0,0,0,0,0,0,0
2009,Kappel,0,0,0,0,0,0,0,0,0,0,0
2009,Oberau,0,0,0,0,0,0,0,0,0,0,0
2009,Oberwiehre,0,0,0,0,0,0,0,0,0,0,0
2009,Mittelwiehre,0,0,0,0,0,0,0,0,0,0,0
2009,Unterwiehre-Nord,0,0,0,0,0,0,0,0,0,0,0
2009,Unterwiehre-Süd,0,0,0,0,0,0,0,0,0,0,0
2009,Günterstal,0,0,0,0,0,0,0,0,0,0,0
2009,Stühlinger-Beurbarung,0,0,0,0,0,0,0,0,0,0,0
2009,Stühlinger-Eschholz,0,0,0,0,0,0,0,0,0,0,0
2009,Alt-Stühlinger,0,0,0,0,0,0,0,0,0,0,0
2009,Mooswald-West,0,0,0,0,0,0,0,0,0,0,0
2009,Mooswald-Ost,0,0,0,0,0,0,0,0,0,0,0
2009,Betzenhausen-Bischofslinde,0,0,0,0,0,0,0,0,0,0,0
2009,Alt-Betzenhausen,0,0,0,0,0,0,0,0,0,0,0
2009,Landwasser,0,0,0,0,0,0,0,0,0,0,0
2009,Lehen,0,0,0,0,0,0,0,0,0,0,0
2009,Waltershofen,0,0,0,0,0,0,0,0,0,0,0
2009,Mundenhof,0,0,0,0,0,0,0,0,0,0,0
2009,Haslach-Egerten,0,0,0,0,0,0,0,0,0,0,0
2009,Haslach-Gartenstadt,0,0,0,0,0,0,0,0,0,0,0
2009,Haslach-Schildacker,0,0,0,0,0,0,0,0,0,0,0
2009,Haslach-Haid,0,0,0,0,0,0,0,0,0,0,0
2009,St. Georgen-Nord,0,0,0,0,0,0,0,0,0,0,0
2009,St. Georgen-Süd,0,0,0,0,0,0,0,0,0,0,0
2009,Opfingen,0,0,0,0,0,0,0,0,0,0,0
2009,Tiengen,0,0,0,0,0,0,0,0,0,0,0
2009,Munzingen,0,0,0,0,0,0,0,0,0,0,0
2009,Weingarten,0,0,0,0,0,0,0,0,0,0,0
2009,Rieselfeld,0,0,0,0,0,0,0,0,0,0,0
2009,Vauban,0,0,0,0,0,0,0,0,0,0,0
2010,Altstadt-Mitte,0,0,0,0,0,0,0,0,0,0,0
2010,Altstadt-Ring,0,0,0,0,0,0,0,0,0,0,0
2010,Neuburg,0,0,0,0,0,0,0,0,0,0,0
2010,Herdern-Süd,0,0,0,0,0,0,0,0,0,0,0
2010,Herdern-Nord,0,0,0,0,0,0,0,0,0,0,0
2010,Zähringen,0,0,0,0,0,0,0,0,0,0,0
2010,Brühl-Güterbahnhof,0,0,0,0,0,0,0,0,0,0,0
2010,Brühl-Industriegebiet,0,0,0,0,0,0,0,0,0,0,0
2010,Hochdorf,0,0,0,0,0,0,0,0,0,0,0
2010,Waldsee,0,0,0,0,0,0,0,0,0,0,0
2010,Littenweiler,0,0,0,0,0,0,0,0,0,0,0
2010,Ebnet,0,0,0,0,0,0,0,0,0,0,0
2010,Kappel,0,0,0,0,0,0,0,0,0,0,0
2010,Oberau,0,0,0,0,0,0,0,0,0,0,0
2010,Oberwiehre,0,0,0,0,0,0,0,0,0,0,0
2010,Mittelwiehre,0,0,0,0,0,0,0,0,0,0,0
2010,Unterwiehre-Nord,0,0,0,0,0,0,0,0,0,0,0
2010,Unterwiehre-Süd,0,0,0,0,0,0,0,0,0,0,0
2010,Günterstal,0,0,0,0,0,0,0,0,0,0,0
2010,Stühlinger-Beurbarung,0,0,0,0,0,0,0,0,0,0,0
2010,Stühlinger-Eschholz,0,0,0,0,0,0,0,0,0,0,0
2010,Alt-Stühlinger,0,0,0,0,0,0,0,0,0,0,0
2010,Mooswald-West,0,0,0,0,0,0,0,0,0,0,0
2010,Mooswald-Ost,0,0,0,0,0,0,0,0,0,0,0
2010,Betzenhausen-Bischofslinde,0,0,0,0,0,0,0,0,0,0,0
2010,Alt-Betzenhausen,0,0,0,0,0,0,0,0,0,0,0
2010,Landwasser,0,0,0,0,0,0,0,0,0,0,0
2010,Lehen,0,0,0,0,0,0,0,0,0,0,0
2010,Waltershofen,0,0,0,0,0,0,0,0,0,0,0
2010,Mundenhof,0,0,0,0,0,0,0,0,0,0,0
2010,Haslach-Egerten,0,0,0,0,0,0,0,0,0,0,0
2010,Haslach-Gartenstadt,0,0,0,0,0,0,0,0,0,0,0
2010,Haslach-Schildacker,0,0,0,0,0,0,0,0,0,0,0
2010,Haslach-Haid,0,0,0,0,0,0,0,0,0,0,0
2010,St. Georgen-Nord,0,0,0,0,0,0,0,0,0,0,0
2010,St. Georgen-Süd,0,0,0,0,0,0,0,0,0,0,0
2010,Opfingen,0,0,0,0,0,0,0,0,0,0,0
2010,Tiengen,0,0,0,0,0,0,0,0,0,0,0
2010,Munzingen,0,0,0,0,0,0,0,0,0,0,0
2010,Weingarten,0,0,0,0,0,0,0,0,0,0,0
2010,Rieselfeld,0,0,0,0,0,0,0,0,0,0,0
2010,Vauban,0,0,0,0,0,0,0,0,0,0,0
2011,Altstadt-Mitte,0,0,0,0,0,0,0,0,0,0,0
2011,Altstadt-Ring,0,0,0,0,0,0,0,0,0,0,0
2011,Neuburg,0,0,0,0,0,0,0,0,0,0,0
2011,Herdern-Süd,0,0,0,0,0,0,0,0,0,0,0
2011,Herdern-Nord,0,0,0,0,0,0,0,0,0,0,0
2011,Zähringen,0,0,0,0,0,0,0,0,0,0,0
2011,Brühl-Güterbahnhof,0,0,0,0,0,0,0,0,0,0,0
2011,Brühl-Industriegebiet,0,0,0,0,0,0,0,0,0,0,0
2011,Hochdorf,0,0,0,0,0,0,0,0,0,0,0
2011,Waldsee,0,0,0,0,0,0,0,0,0,0,0
2011,Littenweiler,0,0,0,0,0,0,0,0,0,0,0
2011,Ebnet,0,0,0,0,0,0,0,0,0,0,0
2011,Kappel,0,0,0,0,0,0,0,0,0,0,0
2011,Oberau,0,0,0,0,0,0,0,0,0,0,0
2011,Oberwiehre,0,0,0,0,0,0,0,0,0,0,0
2011,Mittelwiehre,0,0,0,0,0,0,0,0,0,0,0
2011,Unterwiehre-Nord,0,0,0,0,0,0,0,0,0,0,0
2011,Unterwiehre-Süd,0,0,0,0,0,0,0,0,0,0,0
2011,Günterstal,0,0,0,0,0,0,0,0,0,0,0
2011,Stühlinger-Beurbarung,0,0,0,0,0,0,0,0,0,0,0
2011,Stühlinger-Eschholz,0,0,0,0,0,0,0,0,0,0,0
2011,Alt-Stühlinger,0,0,0,0,0,0,0,0,0,0,0
2011,Mooswald-West,0,0,0,0,0,0,0,0,0,0,0
2011,Mooswald-Ost,0,0,0,0,0,0,0,0,0,0,0
2011,Betzenhausen-Bischofslinde,0,0,0,0,0,0,0,0,0,0,0
2011,Alt-Betzenhausen,0,0,0,0,0,0,0,0,0,0,0
2011,Landwasser,0,0,0,0,0,0,0,0,0,0,0
2011,Lehen,0,0,0,0,0,0,0,0,0,0,0
2011,Waltershofen,0,0,0,0,0,0,0,0,0,0,0
2011,Haslach-Egerten,0,0,0,0,0,0,0,0,0,0,0
2011,Haslach-Gartenstadt,0,0,0,0,0,0,0,0,0,0,0
2011,Haslach-Schildacker,0,0,0,0,0,0,0,0,0,0,0
2011,Haslach-Haid,0,0,0,0,0,0,0,0,0,0,0
2011,St. Georgen-Nord,0,0,0,0,0,0,0,0,0,0,0
2011,St. Georgen-Süd,0,0,0,0,0,0,0,0,0,0,0
2011,Opfingen,0,0,0,0,0,0,0,0,0,0,0
2011,Tiengen,0,0,0,0,0,0,0,0,0,0,0
2011,Munzingen,0,0,0,0,0,0,0,0,0,0,0
2011,Weingarten,0,0,0,0,0,0,0,0,0,0,0
2011,Rieselfeld,0,0,0,0,0,0,0,0,0,0,0
2011,Vauban,0,0,0,0,0,0,0,0,0,0,0
2012,Altstadt-Mitte,0,0,0,0,0,0,0,0,0,0,0
2012,Altstadt-Ring,0,0,0,0,0,0,0,0,0,0,0
2012,Neuburg,0,0,0,0,0,0,0,0,0,0,0
2012,Herdern-Süd,0,0,0,0,0,0,0,0,0,0,0
2012,Herdern-Nord,0,0,0,0,0,0,0,0,0,0,0
2012,Zähringen,0,0,0,0,0,0,0,0,0,0,0
2012,Brühl-Güterbahnhof,0,0,0,0,0,0,0,0,0,0,0
2012,Brühl-Industriegebiet,0,0,0,0,0,0,0,0,0,0,0
2012,Hochdorf,0,0,0,0,0,0,0,0,0,0,0
2012,Waldsee,0,0,0,0,0,0,0,0,0,0,0
2012,Littenweiler,0,0,0,0,0,0,0,0,0,0,0
2012,Ebnet,0,0,0,0,0,0,0,0,0,0,0
2012,Kappel,0,0,0,0,0,0,0,0,0,0,0
2012,Oberau,0,0,0,0,0,0,0,0,0,0,0
2012,Oberwiehre,0,0,0,0,0,0,0,0,0,0,0
2012,Mittelwiehre,0,0,0,0,0,0,0,0,0,0,0
2012,Unterwiehre-Nord,0,0,0,0,0,0,0,0,0,0,0
2012,Unterwiehre-Süd,0,0,0,0,0,0,0,0,0,0,0
2012,Günterstal,0,0,0,0,0,0,0,0,0,0,0
2012,Stühlinger-Beurbarung,0,0,0,0,0,0,0,0,0,0,0
2012,Stühlinger-Eschholz,0,0,0,0,0,0,0,0,0,0,0
2012,Alt-Stühlinger,0,0,0,0,0,0,0,0,0,0,0
2012,Mooswald-West,0,0,0,0,0,0,0,0,0,0,0
2012,Mooswald-Ost,0,0,0,0,0,0,0,0,0,0,0
2012,Betzenhausen-Bischofslinde,0,0,0,0,0,0,0,0,0,0,0
2012,Alt-Betzenhausen,0,0,0,0,0,0,0,0,0,0,0
2012,Landwasser,0,0,0,0,0,0,0,0,0,0,0
2012,Lehen,0,0,0,0,0,0,0,0,0,0,0
2012,Waltershofen,0,0,0,0,0,0,0,0,0,0,0
2012,Mundenhof,0,0,0,0,0,0,0,0,0,0,0
2012,Haslach-Egerten,0,0,0,0,0,0,0,0,0,0,0
2012,Haslach-Gartenstadt,0,0,0,0,0,0,0,0,0,0,0
2012,Haslach-Schildacker,0,0,0,0,0,0,0,0,0,0,0
2012,Haslach-Haid,0,0,0,0,0,0,0,0,0,0,0
2012,St. Georgen-Nord,0,0,0,0,0,0,0,0,0,0,0
2012,St. Georgen-Süd,0,0,0,0,0,0,0,0,0,0,0
2012,Opfingen,0,0,0,0,0,0,0,0,0,0,0
2012,Tiengen,0,0,0,0,0,0,0,0,0,0,0
2012,Munzingen,0,0,0,0,0,0,0,0,0,0,0
2012,Weingarten,0,0,0,0,0,0,0,0,0,0,0
2012,Rieselfeld,0,0,0,0,0,0,0,0,0,0,0
2012,Vauban,0,0,0,0,0,0,0,0,0,0,0
2013,Altstadt-Mitte,0,0,0,0,0,0,0,0,0,0,0
2013,Altstadt-Ring,0,0,0,0,0,0,0,0,0,0,0
2013,Neuburg,0,0,0,0,0,0,0,0,0,0,0
2013,Herdern-Süd,0,0,0,0,0,0,0,0,0,0,0
2013,Herdern-Nord,0,0,0,0,0,0,0,0,0,0,0
2013,Zähringen,0,0,0,0,0,0,0,0,0,0,0
2013,Brühl-Güterbahnhof,0,0,0,0,0,0,0,0,0,0,0
2013,Brühl-Industriegebiet,0,0,0,0,0,0,0,0,0,0,0
2013,Hochdorf,0,0,0,0,0,0,0,0,0,0,0
2013,Waldsee,0,0,0,0,0,0,0,0,0,0,0
2013,Littenweiler,0,0,0,0,0,0,0,0,0,0,0
2013,Ebnet,0,0,0,0,0,0,0,0,0,0,0
2013,Kappel,0,0,0,0,0,0,0,0,0,0,0
2013,Oberau,0,0,0,0,0,0,0,0,0,0,0
2013,Oberwiehre,0,0,0,0,0,0,0,0,0,0,0
2013,Mittelwiehre,0,0,0,0,0,0,0,0,0,0,0
2013,Unterwiehre-Nord,0,0,0,0,0,0,0,0,0,0,0
2013,Unterwiehre-Süd,0,0,0,0,0,0,0,0,0,0,0
2013,Günterstal,0,0,0,0,0,0,0,0,0,0,0
2013,Stühlinger-Beurbarung,0,0,0,0,0,0,0,0,0,0,0
2013,Stühlinger-Eschholz,0,0,0,0,0,0,0,0,0,0,0
2013,Alt-Stühlinger,0,0,0,0,0,0,0,0,0,0,0
2013,Mooswald-West,0,0,0,0,0,0,0,0,0,0,0
2013,Mooswald-Ost,0,0,0,0,0,0,0,0,0,0,0
2013,Betzenhausen-Bischofslinde,0,0,0,0,0,0,0,0,0,0,0
2013,Alt-Betzenhausen,0,0,0,0,0,0,0,0,0,0,0
2013,Landwasser,0,0,0,0,0,0,0,0,0,0,0
2013,Lehen,0,0,0,0,0,0,0,0,0,0,0
2013,Waltershofen,0,0,0,0,0,0,0,0,0,0,0
2013,Haslach-Egerten,0,0,0,0,0,0,0,0,0,0,0
2013,Haslach-Gartenstadt,0,0,0,0,0,0,0,0,0,0,0
2013,Haslach-Schildacker,0,0,0,0,0,0,0,0,0,0,0
2013,Haslach-Haid,0,0,0,0,0,0,0,0,0,0,0
2013,St. Georgen-Nord,0,0,0,0,0,0,0,0,0,0,0
2013,St. Georgen-Süd,0,0,0,0,0,0,0,0,0,0,0
2013,Opfingen,0,0,0,0,0,0,0,0,0,0,0
2013,Tiengen,0,0,0,0,0,0,0,0,0,0,0
2013,Munzingen,0,0,0,0,0,0,0,0,0,0,0
2013,Weingarten,0,0,0,0,0,0,0,0,0,0,0
2013,Rieselfeld,0,0,0,0,0,0,0,0,0,0,0
2013,Vauban,0,0,0,0,0,0,0,0,0,0,0
2014,Altstadt-Mitte,0,0,0,0,0,0,0,0,0,0,0
2014,Altstadt-Ring,0,0,0,0,0,0,0,0,0,0,0
2014,Neuburg,0,0,0,0,0,0,0,0,0,0,0
2014,Herdern-Süd,0,0,0,0,0,0,0,0,0,0,0
2014,Herdern-Nord,0,0,0,0,0,0,0,0,0,0,0
2014,Zähringen,0,0,0,0,0,0,0,0,0,0,0
2014,Brühl-Güterbahnhof,0,0,0,0,0,0,0,0,0,0,0
2014,Brühl-Industriegebiet,0,0,0,0,0,0,0,0,0,0,0
2014,Brühl-Beurbarung,0,0,0,0,0,0,0,0,0,0,0
2014,Hochdorf,0,0,0,0,0,0,0,0,0,0,0
2014,Waldsee,0,0,0,0,0,0,0,0,0,0,0
2014,Littenweiler,0,0,0,0,0,0,0,0,0,0,0
2014,Ebnet,0,0,0,0,0,0,0,0,0,0,0
2014,Kappel,0,0,0,0,0,0,0,0,0,0,0
2014,Oberau,0,0,0,0,0,0,0,0,0,0,0
2014,Oberwiehre,0,0,0,0,0,0,0,0,0,0,0
2014,Mittelwiehre,0,0,0,0,0,0,0,0,0,0,0
2014,Unterwiehre-Nord,0,0,0,0,0,0,0,0,0,0,0
2014,Unterwiehre-Süd,0,0,0,0,0,0,0,0,0,0,0
2014,Günterstal,0,0,0,0,0,0,0,0,0,0,0
2014,Stühlinger-Eschholz,0,0,0,0,0,0,0,0,0,0,0
2014,Alt-Stühlinger,0,0,0,0,0,0,0,0,0,0,0
2014,Mooswald-West,0,0,0,0,0,0,0,0,0,0,0
2014,Mooswald-Ost,0,0,0,0,0,0,0,0,0,0,0
2014,Betzenhausen-Bischofslinde,0,0,0,0,0,0,0,0,0,0,0
2014,Alt-Betzenhausen,0,0,0,0,0,0,0,0,0,0,0
2014,Landwasser,0,0,0,0,0,0,0,0,0,0,0
2014,Lehen,0,0,0,0,0,0,0,0,0,0,0
2014,Waltershofen,0,0,0,0,0,0,0,0,0,0,0
2014,Mundenhof,0,0,0,0,0,0,0,0,0,0,0
2014,Haslach-Egerten,0,0,0,0,0,0,0,0,0,0,0
2014,Haslach-Gartenstadt,0,0,0,0,0,0,0,0,0,0,0
